source,target,weight,evidence,sign,input_form,log2FC,padj
KLF5,DVL1,1,DoRothEA_confC,Activator,Hill_activator,0.499897183153825,0.873890521762311
KLF6,ETS1,1,DoRothEA_confC,Activator,Hill_activator,0.835259600310084,0.873890521762311
RARA,ETS1,3,DoRothEA_confA,Activator,Hill_activator,0.835259600310084,0.873890521762311
AR,IGFBP3,3,DoRothEA_confA,Activator,Hill_activator,0.683965103395718,0.873890521762311
MEF2A,PTK2,1,DoRothEA_confC,Activator,Hill_activator,0.335152365145434,0.878194659481665
AR,AKT1,3,DoRothEA_confA,Activator,Hill_activator,0.299234605634452,0.878517707689973
MAFB,CPEB4,1,DoRothEA_confC,Activator,Hill_activator,0.25303949828741,0.878517707689973
MAFB,DAAM1,1,DoRothEA_confC,Activator,Hill_activator,0.241679666352542,0.880285260294967
MEF2A,DAAM1,1,DoRothEA_confC,Activator,Hill_activator,0.241679666352542,0.880285260294967
CREB1,STAR,3,DoRothEA_confA,Activator,Hill_activator,-0.626853332217817,0.880622739347717
MEF2A,IPCEF1,1,DoRothEA_confC,Activator,Hill_activator,0.367196776481673,0.885926742497594
NR2F1,PHACTR3,1,DoRothEA_confC,Activator,Hill_activator,0.416750967463078,0.887653244015893
AR,PNRC1,3,DoRothEA_confA,Activator,Hill_activator,0.286720942962262,0.893369982479226
KLF5,RALGDS,1,DoRothEA_confC,Activator,Hill_activator,0.34690380959718,0.893369982479226
AR,ZFHX4,3,DoRothEA_confA,Activator,Hill_activator,-0.287682488768562,0.893369982479226
MAFB,APPL2,1,DoRothEA_confC,Activator,Hill_activator,-0.336181351442852,0.893730341317928
NR2F1,UNKL,1,DoRothEA_confC,Activator,Hill_activator,0.604809262199982,0.893730341317928
KLF5,STX1A,1,DoRothEA_confC,Activator,Hill_activator,0.618754820744662,0.89480826856199
MEF2A,LRCH1,1,DoRothEA_confC,Activator,Hill_activator,0.335070568069059,0.89597761624209
SMAD3,POR,3,DoRothEA_confA,Activator,Hill_activator,0.311304195951134,0.89597761624209
MEF2A,FAM129A,1,DoRothEA_confC,Activator,Hill_activator,0.966065668438377,0.900105464990387
POU2F1,VCAM1,3,DoRothEA_confA,Repressor,Hill_repressor,-0.923655433835156,0.900900236763953
CREB1,RARB,3,DoRothEA_confA,Activator,Hill_activator,-0.665640488105079,0.902376816628421
RARA,RARB,3,DoRothEA_confA,Activator,Hill_activator,-0.665640488105079,0.902376816628421
MEF2A,SVIL,1,DoRothEA_confC,Activator,Hill_activator,-0.490275949016359,0.907458568825519
KLF5,CD9,1,DoRothEA_confC,Activator,Hill_activator,0.855127152473742,0.909371405133567
AR,ZCCHC9,3,DoRothEA_confA,Activator,Hill_activator,-0.533799125181725,0.909371405133567
AR,PEX6,3,DoRothEA_confA,Activator,Hill_activator,-0.433480307344864,0.914009590149151
MYCN,CTSD,3,DoRothEA_confA,Activator,Hill_activator,-0.165000957547376,0.917700439566438
MYCN,TRP53,3,DoRothEA_confA,Activator,Hill_activator,-0.508921520824051,0.919744874812163
MEF2A,NFATC2,1,DoRothEA_confC,Activator,Hill_activator,0.414680044511423,0.9199580141751
KLF5,PPP1R13L,1,DoRothEA_confC,Activator,Hill_activator,-1.01148742561523,0.921469228070802
MEF2A,TNRC6B,1,DoRothEA_confC,Activator,Hill_activator,-0.180777233084728,0.921469228070802
KLF6,ZFP36L1,1,DoRothEA_confC,Activator,Hill_activator,-0.454062394487994,0.921469228070802
AR,FAM13A,3,DoRothEA_confA,Activator,Hill_activator,-0.481613490198999,0.922919681400578
KLF6,RND3,1,DoRothEA_confC,Activator,Hill_activator,-0.429747897397619,0.922919681400578
KLF6,MACF1,1,DoRothEA_confC,Activator,Hill_activator,0.239150044213324,0.926502637945258
MEF2A,MACF1,1,DoRothEA_confC,Activator,Hill_activator,0.239150044213324,0.926502637945258
AR,IL1R1,3,DoRothEA_confA,Activator,Hill_activator,0.596341388391691,0.931396692218307
MAFB,DST,1,DoRothEA_confC,Activator,Hill_activator,0.256789490391738,0.935803989822383
MEF2A,DST,1,DoRothEA_confC,Activator,Hill_activator,0.256789490391738,0.935803989822383
KLF4,PFKP,3,DoRothEA_confA,Activator,Hill_activator,0.298194785909392,0.937300475074687
