source,target,sign,weight,evidence
KLF6,SH3RF1,Activator,1.0,DoRothEA_confC
KLF6,SREBF1,Activator,1.0,DoRothEA_confC
KLF6,TACC1,Activator,1.0,DoRothEA_confC
KLF6,TECR,Activator,1.0,DoRothEA_confC
KLF6,TSPAN14,Activator,1.0,DoRothEA_confC
KLF6,VMP1,Activator,1.0,DoRothEA_confC
KLF6,WFS1,Activator,1.0,DoRothEA_confC
KLF6,WWTR1,Activator,1.0,DoRothEA_confC
KLF6,XXYLT1,Activator,1.0,DoRothEA_confC
KLF6,ZFP36L1,Activator,1.0,DoRothEA_confC
KLF6,ZFP36L2,Activator,1.0,DoRothEA_confC
MAFB,TBC1D14,Activator,1.0,DoRothEA_confC
MAFB,ADAMTS2,Activator,1.0,DoRothEA_confC
MAFB,AKAP13,Activator,1.0,DoRothEA_confC
MAFB,ANKRD17,Activator,1.0,DoRothEA_confC
MAFB,APBB2,Activator,1.0,DoRothEA_confC
MAFB,APPL2,Activator,1.0,DoRothEA_confC
MAFB,ARHGAP24,Activator,1.0,DoRothEA_confC
MAFB,CACNA1D,Activator,1.0,DoRothEA_confC
MAFB,CACNA2D3,Activator,1.0,DoRothEA_confC
MAFB,CLIP4,Activator,1.0,DoRothEA_confC
MAFB,CPEB4,Activator,1.0,DoRothEA_confC
MAFB,DAAM1,Activator,1.0,DoRothEA_confC
MAFB,DIP2C,Activator,1.0,DoRothEA_confC
MAFB,DOCK4,Activator,1.0,DoRothEA_confC
MAFB,DST,Activator,1.0,DoRothEA_confC
MAFB,DTNA,Activator,1.0,DoRothEA_confC
MAFB,ELMO1,Activator,1.0,DoRothEA_confC
MAFB,FLNB,Activator,1.0,DoRothEA_confC
MAFB,FMN1,Activator,1.0,DoRothEA_confC
MAFB,HDAC4,Activator,1.0,DoRothEA_confC
MAFB,JMJD1C,Activator,1.0,DoRothEA_confC
MAFB,KLF9,Activator,1.0,DoRothEA_confC
MAFB,MTSS1,Activator,1.0,DoRothEA_confC
MAFB,NAV2,Activator,1.0,DoRothEA_confC
MAFB,NBAS,Activator,1.0,DoRothEA_confC
MAFB,PCSK2,Activator,1.0,DoRothEA_confC
MAFB,PHLDB2,Activator,1.0,DoRothEA_confC
MAFB,PREX1,Activator,1.0,DoRothEA_confC
MAFB,RTN1,Activator,1.0,DoRothEA_confC
MAFB,SEC14L1,Activator,1.0,DoRothEA_confC
MAFB,SLC39A11,Activator,1.0,DoRothEA_confC
MAFB,SMYD3,Activator,1.0,DoRothEA_confC
MAFB,SNX29,Activator,1.0,DoRothEA_confC
MAFB,SOX9,Activator,1.0,DoRothEA_confC
MAFB,SPAG9,Activator,1.0,DoRothEA_confC
MAFB,SRPK2,Activator,1.0,DoRothEA_confC
MAFB,ST18,Activator,1.0,DoRothEA_confC
MAFB,SYNE1,Activator,1.0,DoRothEA_confC
MAFB,TACC2,Activator,1.0,DoRothEA_confC
MAFB,TENM2,Activator,1.0,DoRothEA_confC
MAFB,TJP2,Activator,1.0,DoRothEA_confC
MAFB,TNS3,Activator,1.0,DoRothEA_confC
MAFB,TRIO,Activator,1.0,DoRothEA_confC
MAFB,WDFY3,Activator,1.0,DoRothEA_confC
MAFB,ZBTB20,Activator,1.0,DoRothEA_confC
MAFB,ZFP407,Activator,1.0,DoRothEA_confC
MAFB,ZMIZ1,Activator,1.0,DoRothEA_confC
MEF2A,JUN,Activator,1.0,DoRothEA_confC
MEF2A,GTDC1,Activator,1.0,DoRothEA_confC
MEF2A,MEF2D,Activator,1.0,DoRothEA_confC
MEF2A,SCHIP1,Activator,1.0,DoRothEA_confC
MEF2A,SYNE1,Activator,1.0,DoRothEA_confC
MEF2A,AFAP1,Activator,1.0,DoRothEA_confC
MEF2A,AKAP6,Activator,1.0,DoRothEA_confC
MEF2A,ARHGAP10,Activator,1.0,DoRothEA_confC
MEF2A,ARHGAP24,Activator,1.0,DoRothEA_confC
MEF2A,ARHGAP42,Activator,1.0,DoRothEA_confC
MEF2A,ARHGEF12,Activator,1.0,DoRothEA_confC
MEF2A,ARHGEF3,Activator,1.0,DoRothEA_confC
MEF2A,ASAP1,Activator,1.0,DoRothEA_confC
MEF2A,BCAS3,Activator,1.0,DoRothEA_confC
MEF2A,CAB39,Activator,1.0,DoRothEA_confC
MEF2A,CDC42EP3,Activator,1.0,DoRothEA_confC
MEF2A,CDYL,Activator,1.0,DoRothEA_confC
MEF2A,CHD9,Activator,1.0,DoRothEA_confC
MEF2A,CRIM1,Activator,1.0,DoRothEA_confC
MEF2A,DAAM1,Activator,1.0,DoRothEA_confC
MEF2A,DMD,Activator,1.0,DoRothEA_confC
MEF2A,DST,Activator,1.0,DoRothEA_confC
MEF2A,EEA1,Activator,1.0,DoRothEA_confC
MEF2A,EFR3A,Activator,1.0,DoRothEA_confC
MEF2A,ERC1,Activator,1.0,DoRothEA_confC
MEF2A,ERCC1,Activator,1.0,DoRothEA_confC
MEF2A,ETL4,Activator,1.0,DoRothEA_confC
MEF2A,FAM129A,Activator,1.0,DoRothEA_confC
MEF2A,FBXW11,Activator,1.0,DoRothEA_confC
MEF2A,FCHSD2,Activator,1.0,DoRothEA_confC
MEF2A,GOLIM4,Activator,1.0,DoRothEA_confC
MEF2A,HDAC9,Activator,1.0,DoRothEA_confC
MEF2A,HIVEP2,Activator,1.0,DoRothEA_confC
MEF2A,HMGB1,Activator,1.0,DoRothEA_confC
MEF2A,IPCEF1,Activator,1.0,DoRothEA_confC
MEF2A,ITGB1,Activator,1.0,DoRothEA_confC
MEF2A,ITPR1,Activator,1.0,DoRothEA_confC
MEF2A,JMJD1C,Activator,1.0,DoRothEA_confC
MEF2A,KDM4C,Activator,1.0,DoRothEA_confC
MEF2A,KLF6,Activator,1.0,DoRothEA_confC
MEF2A,KLF9,Activator,1.0,DoRothEA_confC
MEF2A,LHFPL2,Activator,1.0,DoRothEA_confC
MEF2A,LMNA,Activator,1.0,DoRothEA_confC
MEF2A,LRCH1,Activator,1.0,DoRothEA_confC
MEF2A,LTBP1,Activator,1.0,DoRothEA_confC
MEF2A,MACF1,Activator,1.0,DoRothEA_confC
MEF2A,MBNL1,Activator,1.0,DoRothEA_confC
MEF2A,MEF2C,Activator,1.0,DoRothEA_confC
MEF2A,METTL8,Activator,1.0,DoRothEA_confC
MEF2A,MSN,Activator,1.0,DoRothEA_confC
MEF2A,MYH9,Activator,1.0,DoRothEA_confC
MEF2A,MYLK,Activator,1.0,DoRothEA_confC
MEF2A,NCOA3,Activator,1.0,DoRothEA_confC
MEF2A,NCOA7,Activator,1.0,DoRothEA_confC
MEF2A,NEDD9,Activator,1.0,DoRothEA_confC
MEF2A,NEK6,Activator,1.0,DoRothEA_confC
MEF2A,NEK7,Activator,1.0,DoRothEA_confC
MEF2A,NFATC2,Activator,1.0,DoRothEA_confC
MEF2A,NIN,Activator,1.0,DoRothEA_confC
MEF2A,NUMB,Activator,1.0,DoRothEA_confC
MEF2A,PAM,Activator,1.0,DoRothEA_confC
MEF2A,PEAK1,Activator,1.0,DoRothEA_confC
MEF2A,PHTF2,Activator,1.0,DoRothEA_confC
MEF2A,PICALM,Activator,1.0,DoRothEA_confC
MEF2A,PLCL2,Activator,1.0,DoRothEA_confC
MEF2A,PRDM2,Activator,1.0,DoRothEA_confC
MEF2A,PRKCE,Activator,1.0,DoRothEA_confC
MEF2A,PTK2,Activator,1.0,DoRothEA_confC
MEF2A,RAB11FIP1,Activator,1.0,DoRothEA_confC
MEF2A,RABGAP1L,Activator,1.0,DoRothEA_confC
MEF2A,RBPJ,Activator,1.0,DoRothEA_confC
MEF2A,RGS3,Activator,1.0,DoRothEA_confC
MEF2A,RIN2,Activator,1.0,DoRothEA_confC
MEF2A,SAMD4,Activator,1.0,DoRothEA_confC
MEF2A,SASH1,Activator,1.0,DoRothEA_confC
MEF2A,SIPA1L1,Activator,1.0,DoRothEA_confC
MEF2A,ST6GAL1,Activator,1.0,DoRothEA_confC
MEF2A,STARD13,Activator,1.0,DoRothEA_confC
MEF2A,SVIL,Activator,1.0,DoRothEA_confC
MEF2A,TBL1XR1,Activator,1.0,DoRothEA_confC
MEF2A,TCF4,Activator,1.0,DoRothEA_confC
MEF2A,TJP2,Activator,1.0,DoRothEA_confC
MEF2A,TNRC6B,Activator,1.0,DoRothEA_confC
MEF2A,TRIO,Activator,1.0,DoRothEA_confC
MEF2A,UST,Activator,1.0,DoRothEA_confC
MEF2A,UTRN,Activator,1.0,DoRothEA_confC
MEF2A,UVRAG,Activator,1.0,DoRothEA_confC
MEF2A,WWTR1,Activator,1.0,DoRothEA_confC
MEF2A,XYLT1,Activator,1.0,DoRothEA_confC
MEF2A,ZEB1,Activator,1.0,DoRothEA_confC
MEF2A,ZFP385B,Activator,1.0,DoRothEA_confC
MYCN,CTSD,Activator,3.0,DoRothEA_confA
MYCN,MCM4,Activator,3.0,DoRothEA_confA
MYCN,MCM6,Activator,3.0,DoRothEA_confA
MYCN,MCM7,Activator,3.0,DoRothEA_confA
MYCN,MCM8,Activator,3.0,DoRothEA_confA
MYCN,MDM2,Activator,3.0,DoRothEA_confA
MYCN,MXI1,Repressor,3.0,DoRothEA_confA
MYCN,NDRG1,Activator,3.0,DoRothEA_confA
MYCN,NES,Activator,3.0,DoRothEA_confA
MYCN,TRP53,Activator,3.0,DoRothEA_confA
NR2F1,AGT,Repressor,1.0,DoRothEA_confC
NR2F1,CYP19A1,Repressor,1.0,DoRothEA_confC
NR2F1,ABCA2,Activator,1.0,DoRothEA_confC
NR2F1,ADAP1,Activator,1.0,DoRothEA_confC
NR2F1,AGPAT3,Activator,1.0,DoRothEA_confC
NR2F1,AHDC1,Activator,1.0,DoRothEA_confC
NR2F1,ARHGEF1,Activator,1.0,DoRothEA_confC
NR2F1,ARHGEF2,Activator,1.0,DoRothEA_confC
NR2F1,ARHGEF4,Activator,1.0,DoRothEA_confC
NR2F1,ATP11A,Activator,1.0,DoRothEA_confC
NR2F1,ATP2B3,Activator,1.0,DoRothEA_confC
NR2F1,BEGAIN,Activator,1.0,DoRothEA_confC
NR2F1,BRSK2,Activator,1.0,DoRothEA_confC
